+---------------+---------------------+-------------+
|          genre|average_ratings_genre|ratings_genre|
+---------------+---------------------+-------------+
|          Crime|   3.1625839378882312|          907|
|        Romance|   3.1562777018393646|         1206|
|       TV Movie|    3.148118069220997|           87|
|       Thriller|    3.148281748166091|         1427|
|      Adventure|   3.1687090625255796|          707|
|        Foreign|    3.113985834407914|          271|
|          Drama|   3.1391216242914513|         3724|
|            War|    3.114663382606142|          231|
|    Documentary|    3.074235609323985|          503|
|         Family|   3.1569054919202824|          386|
|        Fantasy|    3.142913521900704|          463|
|        History|   3.1187910458495396|          306|
|        Mystery|    3.148769392655549|          475|
|      Animation|    3.175885456020016|          223|
|          Music|    3.189047782134767|          248|
|Science Fiction|    3.157163683913987|          593|
|         Horror|   3.1340202623924744|          723|
|        Western|   3.2140607181871013|          185|
|         Comedy|   3.1370494677399536|         2113|
|         Action|     3.15853292945107|         1175|
+---------------+---------------------+-------------+
